date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2011-01-03 | 0.5
2011-01-03 | 10
2011-01-03 | 0
2011-01-03 | 1000
2011-01-09 | 0.1
2011-01-09 | 5
2011-01-09 | 42.42
2011-01-10 | 3.14
2011-01-10 | 1.618
2011-01-10 | 2.71828
2011-12-31 | 99
2012-01-01 | 1
2012-01-11 | 0.0001
2012-01-11 | 999999
2013-07-04 | 7
2014-05-22 | 1.1
2015-11-30 | 2
2020-02-29 | 4 
2021-03-15 | 3
2022-08-08 | 8
2023-12-31 | 12.31
2024-02-29 | 29.2
2025-07-16 | 16.75
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
2011-01-03 | -1
2011-01-03 | 9999999999999999999999 
2011-13-01 | 5        
not-a-date | 1            
2011-01-03 | abc 
